#,sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,desercion
239,2300,0,1,0,1,0,0,1,-1,-1,443,0,0,0,0,False
240,2314,0,1,0,1,0,0,1,-1,-1,450,0,0,0,0,False
241,2298,1,1,0,1,0,0,1,-1,-1,414,0,0,1,2,False
242,2339,1,1,0,1,0,0,1,-1,-1,851,0,0,2,0,False
243,3323,1,1,0,3,0,0,1,0,-1,185,0,0,0,0,False
244,2304,0,0,0,1,0,0,1,-1,-1,608,0,0,2,0,False
245,2432,1,1,0,1,0,0,1,-1,-1,403,0,0,0,1,False
246,3280,0,1,0,2,0,0,1,-1,-1,979,0,0,1,0,False
247,3426,0,1,0,1,0,0,1,0,-1,1023,0,0,0,0,False
248,3373,1,1,0,1,0,0,1,-1,-1,213,0,0,2,0,False
249,3355,1,1,0,1,0,0,1,0,-1,235,0,0,1,0,False
250,3559,0,1,0,1,0,0,1,-1,-1,984,0,0,0,0,False
251,2348,0,1,0,1,0,0,1,1,-1,411,0,0,1,0,False
252,3354,1,1,0,1,0,0,1,-1,-1,528,0,0,0,0,False
253,3474,1,1,0,1,0,0,1,0,-1,939,0,0,1,0,False
254,3566,1,1,0,2,0,0,1,-1,-1,215,0,0,0,0,False
255,2447,1,1,0,1,0,0,1,-1,-1,400,0,0,0,0,False
256,3371,1,1,0,1,0,1,1,0,-1,218,0,0,1,0,False
257,3542,0,1,0,1,0,1,1,1,-1,1157,0,0,0,0,False
258,3510,1,1,0,1,0,0,1,-1,-1,961,0,0,0,0,False
259,3459,0,1,0,1,0,0,1,-1,-1,589,0,0,1,0,False
260,1630,0,1,0,1,0,0,1,-1,-1,1298,0,0,1,0,False
261,3456,1,1,0,1,0,0,1,-1,-1,931,0,0,1,0,False
262,1724,0,1,0,7,0,0,1,-1,0,383,0,0,0,-1,False
263,3565,1,1,0,7,0,0,1,-1,-1,435,0,0,1,1,False
264,3687,0,1,0,1,0,0,1,0,-1,971,0,0,0,0,False
265,3714,0,1,0,1,0,0,1,-1,-1,1127,0,0,1,0,False
266,3704,1,1,0,1,0,0,1,-1,-1,976,0,0,0,2,False
267,3540,1,1,0,1,0,0,1,-1,-1,1147,0,0,0,0,False
268,3546,1,1,0,1,0,0,1,-1,-1,1135,0,0,0,0,False
269,3512,1,1,0,1,0,0,1,-1,-1,690,0,0,0,0,False
270,2335,1,1,0,1,0,0,1,-1,-1,534,0,0,0,0,False
271,3433,1,1,0,1,0,0,1,-1,-1,813,0,0,0,0,False
272,2346,1,1,0,1,0,0,1,1,-1,423,0,0,1,1,False
273,2328,0,1,0,1,0,0,1,-1,-1,354,0,0,0,1,False
274,3598,1,1,0,2,0,0,2,-1,-1,477,0,0,1,0,False
275,1884,0,1,0,6,0,0,1,-1,-1,209,0,0,1,0,False
276,2203,0,0,0,13,0,0,1,-1,-1,507,0,0,1,-1,False
277,2352,0,1,0,1,0,0,1,0,-1,389,0,0,1,0,False
278,2323,1,1,0,1,0,0,1,0,-1,333,0,0,1,0,False
279,2627,1,1,0,2,0,0,1,-1,-1,25,0,0,0,0,False
280,1646,0,1,0,1,0,0,1,-1,-1,1301,0,0,1,0,False
281,1882,0,1,0,6,0,0,1,-1,-1,748,0,0,0,-1,False
282,1977,0,1,0,6,0,0,1,-1,-1,229,0,0,0,2,False
283,1871,0,1,0,6,0,0,1,-1,-1,759,0,0,1,0,False
284,2307,0,1,0,1,0,0,1,0,-1,1108,0,0,1,0,False
285,2720,0,1,0,7,0,0,1,-1,-1,1204,0,0,0,0,False
286,2349,0,1,0,1,0,0,1,-1,-1,470,0,0,0,0,False
287,3615,1,1,0,7,0,0,1,0,-1,365,0,0,0,0,True
288,2344,0,1,0,1,0,0,1,-1,-1,447,0,0,0,0,False
289,3545,1,1,0,1,0,0,1,0,-1,896,0,0,0,0,False
290,3624,0,1,0,1,0,0,1,0,-1,707,0,0,1,0,False
291,2904,1,1,0,1,0,0,1,-1,-1,152,0,0,0,0,False
292,3535,1,1,0,1,0,0,1,1,-1,1031,0,0,1,0,False
293,3393,1,1,0,1,1,0,1,-1,-1,1111,0,0,0,0,False
294,3678,0,1,0,1,0,0,1,-1,-1,703,0,0,0,0,False
295,3541,0,1,-1,1,0,0,1,-1,-1,1126,0,0,0,0,False
296,2936,1,1,0,1,0,0,1,1,-1,958,0,0,1,0,False
297,2888,0,1,0,1,0,0,1,-1,-1,98,0,0,0,0,False
298,2233,0,1,0,13,0,0,1,-1,1,888,0,0,1,0,False
299,2924,1,1,0,1,0,0,1,-1,-1,1322,0,0,2,2,False
300,2853,1,1,0,1,0,0,1,0,-1,1267,0,0,0,0,False
301,3487,0,1,0,5,0,0,1,-1,-1,992,0,0,1,0,False
302,2337,0,1,0,1,0,0,1,-1,-1,588,0,0,0,0,False
303,2887,1,1,0,1,0,0,1,-1,-1,1284,0,0,1,2,False
304,2900,1,1,0,1,0,0,1,-1,-1,1335,0,0,1,0,False
305,3415,1,1,0,5,0,0,1,0,-1,953,0,0,1,0,False
306,3470,1,1,0,5,1,0,1,-1,-1,947,0,0,0,0,False
307,1674,0,1,-1,2,0,1,1,-1,-1,45,0,0,0,0,False
308,2724,1,1,0,7,0,0,1,-1,-1,1106,0,0,2,2,False
309,2849,1,1,0,1,0,0,1,0,-1,721,0,0,0,0,False
310,1661,0,1,0,2,0,0,1,-1,-1,343,0,0,1,-1,False
311,1681,0,1,0,2,0,0,1,-1,2,332,0,0,1,0,False
312,3742,0,1,0,6,0,0,1,-1,-1,754,0,0,1,2,False
313,3688,1,1,0,6,0,0,1,-1,-1,1059,0,0,0,1,False
314,3587,1,1,0,6,0,0,1,-1,-1,761,0,0,0,0,False
315,2044,1,1,0,6,0,0,1,-1,-1,929,0,0,0,0,False
316,3152,0,1,0,6,0,0,1,-1,-1,810,0,0,0,0,False
317,3120,1,1,0,6,0,0,2,0,-1,1083,0,0,0,0,False
318,1628,0,1,0,1,0,0,1,-1,-1,1295,0,0,1,-1,False
319,3472,1,1,0,5,0,0,1,0,-1,965,0,0,0,0,False
320,3511,0,1,0,5,0,0,1,0,-1,966,0,0,0,0,False
321,3479,0,1,0,5,0,0,1,-1,-1,988,0,0,0,1,False
322,3469,0,1,0,5,0,0,1,-1,-1,972,0,0,0,0,False
323,3419,0,1,0,5,0,0,1,-1,-1,995,0,0,0,0,False
324,3584,1,1,0,5,0,0,1,-1,-1,946,0,0,0,0,False
325,2805,0,1,0,5,0,0,1,-1,-1,278,1,0,2,1,False
326,3484,1,1,0,5,0,0,1,-1,-1,1067,0,0,2,-1,False
327,3536,0,1,0,5,0,0,1,1,-1,1025,0,0,1,0,False
328,3468,0,1,0,5,0,0,1,-1,-1,957,0,0,0,0,False
329,2023,0,1,0,6,0,0,1,0,-1,943,0,0,1,0,False
330,2039,1,1,0,6,0,0,1,-1,-1,933,0,0,1,2,False
331,3396,0,1,0,5,0,0,1,-1,-1,1037,0,1,0,0,False
332,3652,0,1,0,6,0,0,1,-1,-1,743,0,0,0,1,False
333,3517,1,1,0,5,0,0,1,-1,-1,949,0,0,0,0,False
334,3471,1,1,0,5,0,0,1,-1,-1,987,0,0,0,0,False
335,3496,1,1,0,5,0,0,1,-1,-1,989,0,0,0,0,False
336,3560,0,1,0,5,0,0,1,-1,-1,986,0,0,0,0,False
337,3750,0,1,0,5,0,0,1,-1,-1,996,0,0,0,0,False
